id,visual_prompt,voiceover_script,aspect_ratio,filename
001,"Cinematic aerial view of ancient Rome at golden hour, vast city stretching to the horizon with the Colosseum prominent in the center","Imagine standing above Rome nearly two thousand years ago. A city of over one million people, sprawling across seven hills, gleaming in the light of a setting sun.","16:9","scene_001"
002,"Roman soldiers marching in formation through a crowded ancient street, dust rising from cobblestones, market stalls on both sides","Thousands of soldiers once marched through streets like these. The Roman legions were the most disciplined fighting force the ancient world had ever seen.","16:9","scene_002"
003,"Close-up portrait of a Roman emperor inside a grand marble palace, wearing a laurel wreath and purple toga, dramatic lighting","At the center of this enormous empire stood the emperor. A single man whose decisions shaped the lives of sixty million people across three continents.","16:9","scene_003"
004,"Bustling Roman marketplace with merchants selling spices, fabrics, and pottery, vibrant colors, photorealistic detail","But Rome was more than its emperors and armies. It was a place of commerce, culture, and extraordinary daily life.","16:9","scene_004"
005,"Roman aqueduct stretching across a green valley at dawn, water flowing through the stone channels, misty atmosphere","The Romans built aqueducts that carried fresh water across hundreds of miles. Some of these structures still stand today, two thousand years later.","16:9","scene_005"
006,"Interior of a Roman bathhouse with steam rising from heated pools, mosaic floors, marble columns","Public baths were the social media of ancient Rome. People gathered not just to bathe, but to gossip, debate, and make business deals.","16:9","scene_006"
007,"Gladiators fighting in the Colosseum with a roaring crowd of fifty thousand spectators, dramatic action shot","The Colosseum could hold fifty thousand spectators. On its opening day, the games lasted one hundred days straight.","16:9","scene_007"
008,"Roman Senate chamber with senators in white togas debating passionately, grand marble interior with columns","In the Senate, Rome's greatest orators shaped the future of civilization. Their debates established principles of law that still influence us today.","16:9","scene_008"
009,"Roman road stretching into the distance through countryside, stone-paved with milestones, travelers and carts","All roads led to Rome — and the Romans built over four hundred thousand kilometers of them. These highways connected an empire that stretched from Britain to Egypt.","16:9","scene_009"
010,"Nighttime view of ancient Rome with oil lamps glowing in windows, the moon rising over temples and forums","As night fell over the eternal city, Rome never truly slept. It was a civilization that would echo through the centuries, shaping the world we live in today.","16:9","scene_010"
